created,text,boro,boro_code,street,alarm
2019-03-26T17:30:56Z,"BKLYN ALLHANDS 2942 W 5 STREET, HIGH RISE FIRE ON 9TH FLR, UNDER CONTROL",BK,3,2942 W 5 STREET,9
2019-03-26T17:02:05Z,"BKLYN ALLHANDS 2942 W 5 STREET, HIGH RISE FIRE ON 9TH FLR,",BK,3,2942 W 5 STREET,1
2019-03-26T14:36:05Z,"QNS ALLHANDS 119-17 147 ST, PRIVATE DWELLING FIRE 2 FL, UNDER CONTROL",QN,4,119-17 147 ST,9
2019-03-26T14:22:37Z,"QNS ALLHANDS 34-50 201 ST, PRIVATE DWELLING FIRE ON THE FIRST FLR, UNDER CONTROL",QN,4,34-50 201 ST,9
2019-03-26T14:19:19Z,"MAN ALLHANDS 6 W 20TH ST, COMMERCIAL FIRE IN THE BASEMENT, UNDER CONTROL",MH,1,6 W 20TH ST,9
2019-03-26T14:09:18Z,"QNS ALLHANDS 34-50 201 ST, PRIVATE DWELLING FIRE ON THE FIRST FLR,",QN,4,34-50 201 ST,1
2019-03-26T13:58:49Z,"QNS ALLHANDS 119-17 147 ST, PRIVATE DWELLING FIRE 2 FL,",QN,4,119-17 147 ST,1
2019-03-26T12:38:38Z,"MAN ALLHANDS 11 W 19TH ST, COMMERCIAL FIRE IN THE BASEMENT,",MH,1,11 W 19TH ST,1
2019-03-26T12:18:28Z,"QNS 2-ALARM 104-18 METROPOLITAN AVE, MIXED OCCUPANCY FIRE 2 FL, UNDER CONTROL",QN,4,104-18 METROPOLITAN AVE,9
2019-03-26T12:18:14Z,"MAN ALLHANDS 7 AVE, WATER ON STEAM PIPES, UNDER CONTROL",MH,1,7 AVE,9
2019-03-26T11:59:02Z,"MAN ALLHANDS 7 AVE, 3-4 MANHOLE FIRES,",MH,1,7 AVE,1
2019-03-26T11:30:41Z,"QNS 2-ALARM 104-18 METROPOLITAN AVE, MIXED OCCUPANCY FIRE 2 FL,",QN,4,104-18 METROPOLITAN AVE,2
2019-03-26T11:24:28Z,"QNS ALLHANDS 104-18 METROPOLITAN AVE, MIXED OCCUPANCY SMOKE 1ST FLR,",QN,4,104-18 METROPOLITAN AVE,1
2019-03-26T06:15:05Z,"BKLYN ALLHANDS 245 VERMONT ST, PRIVATE DWELLING FIRE 1ST FL, UNDER CONTROL",BK,3,245 VERMONT ST,9
2019-03-26T06:11:39Z,"BKLYN ALLHANDS 245 VERMONT ST, PRIVATE DWELLING FIRE 1ST FL,",BK,3,245 VERMONT ST,1
2019-03-26T01:11:42Z,"BX ALLHANDS 2375 SOUTHERN BLVD, MULTIPLE DWELLING FIRE IN KITCHEN APT 13F, UNDER CONTROL",BX,2,2375 SOUTHERN BLVD,9
2019-03-25T19:52:44Z,"BX ALLHANDS 1140 WHEELER AVE, PRIVATE DWELLING FIRE 2ND FLR, UNDER CONTROL",BX,2,1140 WHEELER AVE,9
2019-03-25T19:15:23Z,"BX ALLHANDS 1140 WHEELER AVE, PRIVATE DWELLING FIRE 2ND FLR,",BX,2,1140 WHEELER AVE,1
