text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"MAN ALL HANDS 260 MADISON AVE, COMMERCIAL TRANSFORMER FIRE IN BASEMENT,",FALSE,15,NA,2019-10-27T15:12:15Z,FALSE,NA,1188473489558331393,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"QNS ALL HANDS 172-30 93 AVE, VACANT PRIVATE DWELLING FIRE ON 2ND FLR, UNDER CONTROL",FALSE,13,NA,2019-10-27T05:32:48Z,FALSE,NA,1188327664886652928,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 172-30 93 AVE, PRIVATE DWELLING HOUSE FIRE,",FALSE,10,NA,2019-10-27T05:07:32Z,FALSE,NA,1188321309564067846,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"SI ALL HANDS 5A HOUSMAN AVE, COMMERCIAL FIRE 1ST FLR, UNDER CONTROL",FALSE,12,NA,2019-10-26T23:33:50Z,FALSE,NA,1188237329858736129,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"SI ALL HANDS 5A HOUSMAN AVE, COMMERCIAL FIRE 1ST FLR,",FALSE,19,NA,2019-10-26T23:15:16Z,FALSE,NA,1188232656254914561,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"QNS ALL HANDS 87-67 112 STREET, PRIVATE DWELLING FIRE ON THE 2ND FLR,",FALSE,10,NA,2019-10-26T17:33:12Z,FALSE,NA,1188146573194211329,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BX ALL HANDS 250 E 178 ST, MULTIPLE DWELLING FIRE ON 6TH FLR, UNDER CONTROL",FALSE,16,NA,2019-10-26T09:24:21Z,FALSE,NA,1188023548444585985,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BX ALL HANDS 250 E 178 ST, MULTIPLE DWELLING FIRE ON 6TH FLR,",FALSE,10,NA,2019-10-26T09:02:33Z,FALSE,NA,1188018062408278016,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN 2-ALARM 930 HALSEY ST, MULTIPLE DWELLING FIRE ON THE 1ST FLR, UNDER CONTROL",FALSE,10,NA,2019-10-26T03:24:41Z,FALSE,NA,1187933036215709697,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN 2-ALARM 930 HALSEY ST, MULTIPLE DWELLING FIRE ON THE 1ST FLR,",FALSE,12,NA,2019-10-26T02:31:38Z,FALSE,NA,1187919685305671680,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 930 HALSEY ST, MULTIPLE DWELLING FIRE ON THE 1ST FLR,",FALSE,20,NA,2019-10-26T02:08:11Z,FALSE,NA,1187913786432380935,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 479 VAN BUREN ST, MULTIPLE DWELLING FIRE ON 1ST FLR,",FALSE,12,NA,2019-10-25T21:59:19Z,FALSE,NA,1187851154505502721,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,4,FALSE,FALSE,NA,NA
