input_location,latitude,longitude,bbl,fireBattalion,censusTract2010,communityDistrict,report_date,borough,case_type,cases,individuals
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  ,301,12/31/2019,Brooklyn,SINGLE ADULT,130,130
108-55 67 DR,40.72775054289607,-73.84646344602908,4021770036,50, 741  ,406,12/31/2019,Queens,ADULT FAMILY,5,10
108-55 67 DR,40.72775054289607,-73.84646344602908,4021770036,50, 741  ,406,12/31/2019,Queens,FAMILY WITH CHILDREN,13,35
108-55 67 DR,40.72775054289607,-73.84646344602908,4021770036,50, 741  ,406,12/31/2019,Queens,SINGLE ADULT,22,22
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  ,303,12/31/2019,Brooklyn,ADULT FAMILY,69,144
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  ,303,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,362,1128
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  ,303,12/31/2019,Brooklyn,SINGLE ADULT,487,487
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  ,303,12/31/2019,Brooklyn,ADULT FAMILY,69,144
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  ,303,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,362,1128
349 CLIFTON PL,40.68934927143289,-73.94951052222218,3017890069,57, 251  ,303,12/31/2019,Brooklyn,SINGLE ADULT,487,487
3044 AVE V,40.59880624641207,-73.93678468224755,3073890001,33, 572  ,315,12/31/2019,Brooklyn,ADULT FAMILY,15,32
3044 AVE V,40.59880624641207,-73.93678468224755,3073890001,33, 572  ,315,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,34,89
3044 AVE V,40.59880624641207,-73.93678468224755,3073890001,33, 572  ,315,12/31/2019,Brooklyn,SINGLE ADULT,57,57
527 GRAND ST,40.71455588838549,-73.9819998742663,1002880036,04,   202,103,12/31/2019,Manhattan,ADULT FAMILY,45,93
527 GRAND ST,40.71455588838549,-73.9819998742663,1002880036,04,   202,103,12/31/2019,Manhattan,FAMILY WITH CHILDREN,111,336
527 GRAND ST,40.71455588838549,-73.9819998742663,1002880036,04,   202,103,12/31/2019,Manhattan,SINGLE ADULT,186,186
100 ASCH LOOP,40.87078917574718,-73.82688307566895,2051410120,15, 46201,210,12/31/2019,Bronx,ADULT FAMILY,22,45
100 ASCH LOOP,40.87078917574718,-73.82688307566895,2051410120,15, 46201,210,12/31/2019,Bronx,FAMILY WITH CHILDREN,130,415
100 ASCH LOOP,40.87078917574718,-73.82688307566895,2051410120,15, 46201,210,12/31/2019,Bronx,SINGLE ADULT,94,94
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  ,412,12/31/2019,Queens,ADULT FAMILY,92,194
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  ,412,12/31/2019,Queens,FAMILY WITH CHILDREN,386,1209
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  ,412,12/31/2019,Queens,SINGLE ADULT,424,424
113-01 203 ST,40.70185468191065,-73.75250362244064,4109980022,54, 518  ,412,12/31/2019,Queens,ADULT FAMILY,92,194
